track_id,user,name,artists,duration,is_explicit,popularity,has_track_features,dancability,energy,loudness,tempo,speechiness,acousticness,instrumentalness,valence,liveness
4rHZZAmHpZrA3iH5zx8frV,31hbrww3peprl3puzzaqqf6yfycy,Mirrors,['Justin Timberlake'],484.146,False,78,True,0.574,0.512,-6.664,76.899,0.0503,0.234,0.0,0.512,0.0946
3AznTGybdNhTBJWoZgx9tg,31hbrww3peprl3puzzaqqf6yfycy,How Much Is the Fish?,['Scooter'],226.2,False,47,True,0.533,0.999,-4.644,140.014,0.0786,0.0013,0.00444,0.615,0.348
0ZqveF2rEFlz2oqF2xrriP,31hbrww3peprl3puzzaqqf6yfycy,The Riddle,"[""Gigi D'Agostino""]",285.426,False,65,True,0.74,0.876,-6.87,127.002,0.0369,0.0173,0.00152,0.825,0.0785
5Z9KJZvQzH6PFmb8SNkxuk,11140450740,INDUSTRY BABY (feat. Jack Harlow),"['Lil Nas X', 'Jack Harlow']",212.352,True,83,True,0.741,0.691,-7.395,150.087,0.0672,0.0221,0.0,0.892,0.0476
2sXp9Qmvc7mRaDBjBgcGGi,11140450740,Every Breath You Take - Remastered 2003,['The Police'],253.886,False,0,True,0.813,0.46,-9.78,117.387,0.0346,0.56,0.0105,0.729,0.0724
7v9VgPcjy7gPRsHZjKPUhU,11140450740,Breezeblocks,['alt-J'],227.08,False,72,True,0.615,0.658,-7.299,150.093,0.0343,0.096,0.000911,0.293,0.205
1PpfeNl5uYRBhfFcig2Uz6,rauwedouwe,19-2000 - Soulchild Remix,['Gorillaz'],209.386,False,56,True,0.673,0.897,-3.986,102.045,0.0512,0.194,0.0,0.892,0.299
3nEHrvNNtgLv9rneTAYVr4,rauwedouwe,Heaven Takes You Home (feat. Connie Constance),"['Swedish House Mafia', 'Connie Constance']",214.071,False,81,True,0.665,0.738,-5.931,125.037,0.0379,0.0124,0.00598,0.0389,0.0923
4GfPkTIFaiI8wmc0lgTDzi,rauwedouwe,To Tomorrow,['Goldkimono'],204.085,False,50,True,0.663,0.689,-7.464,94.988,0.0405,0.341,0.000122,0.549,0.396
0sf12qNH5qcw8qpgymFOqD,rauwedouwe,Blinding Lights,['The Weeknd'],201.573,False,19,True,0.513,0.796,-4.075,171.017,0.0629,0.00147,0.000209,0.345,0.0938
6cy3ki60hLwimwIje7tALf,rauwedouwe,RITMO (Bad Boys For Life),"['Black Eyed Peas', 'J Balvin']",221.714,True,75,True,0.721,0.716,-7.037,104.994,0.0657,0.0334,0.00084,0.667,0.237
550DnKQTJZDTTE4kmjDlno,rauwedouwe,Kwijt,['Donnie'],246.0,False,27,True,0.702,0.613,-10.157,99.919,0.269,0.0569,2.47e-05,0.741,0.15
7gfAYm7X5HMSuKcO4dy8Wi,rauwedouwe,Loco in Acapulco,['Four Tops'],274.066,False,63,True,0.818,0.705,-9.609,123.436,0.0329,0.413,0.0,0.965,0.0269
1Mmp2ZWXqp7MbA7pgNZNSO,rauwedouwe,Take A Chance,"['Flume', 'Little Dragon']",328.63,False,0,True,0.415,0.515,-6.282,107.952,0.0834,0.324,0.000208,0.346,0.152
2j2fIJGh4PMdXt9ULI5Tlc,rauwedouwe,Dura,['Daddy Yankee'],200.48,False,0,True,0.786,0.846,-3.468,95.005,0.0505,0.174,0.0,0.819,0.413
58q2HKrzhC3ozto2nDdN4z,rauwedouwe,I Like It,"['Cardi B', 'Bad Bunny', 'J Balvin']",253.39,True,80,True,0.816,0.726,-3.998,136.048,0.129,0.099,0.0,0.65,0.372
2E2g6up6nOvnchNehqjvB7,rauwedouwe,Outta Control - Remix,"['50 Cent', 'Mobb Deep']",246.826,True,0,True,0.77,0.538,-8.129,92.011,0.275,0.0247,0.0,0.537,0.119
1H1d4dr7Hk5Rrd8Tb5y5yr,rauwedouwe,One More Time / Aerodynamic,['Daft Punk'],370.533,False,50,True,0.45,0.846,-9.996,124.239,0.102,0.038,0.266,0.414,0.222
5eS6pTvDNOvh2kyxeZtK3r,rauwedouwe,Robot Rock / Oh Yeah,['Daft Punk'],387.506,False,49,True,0.479,0.678,-12.17,116.033,0.0758,0.00018,0.661,0.227,0.421
6cSRJnXBLWLptPBHULnuCu,rauwedouwe,Operaz,"['Chinese Man', 'Tha Trickaz', 'Youthstar', 'ASM']",202.7,False,38,True,0.461,0.862,-4.229,75.023,0.33,0.0408,3.67e-06,0.529,0.118
7mze3mJmu79AJu8SnS37pS,rauwedouwe,Aicha,"['Outlandish', 'Isam Bachiri', 'Waqas', 'Lenny Martinez']",275.68,False,58,True,0.745,0.64,-5.494,86.981,0.0526,0.21,5.1e-05,0.612,0.112
53oDkbGMYWJzXhP8RG1sxl,rauwedouwe,"JE HAAT GEEN MAANDAG, JE HAAT KAPITALISME",['Hang Youth'],125.016,False,36,True,0.351,0.313,-13.959,78.985,0.0468,0.0303,9.05e-06,0.119,0.12
6iNFMZfxFMiMkRd4xHNXQt,rauwedouwe,BELASTINGDIENST,['Hang Youth'],67.61,False,40,True,0.443,0.82,-8.527,95.112,0.153,0.00459,0.0,0.686,0.212
5HC5jTe2yGDmvH5xWiv3MH,rauwedouwe,SHELL IS EEN PRIMA BEDRIJF (ALS IK DE WEBSITE MAG GELOVEN),['Hang Youth'],49.194,False,36,True,0.192,0.728,-7.958,196.535,0.143,0.0346,0.000132,0.542,0.39
4qsAYBCJnu2OkTKUVbbOF1,1pat8ir5aqzhzvs7ygs1jp8ga,Free Bird,['Lynyrd Skynyrd'],558.933,False,59,True,0.279,0.852,-7.838,117.418,0.0511,0.0119,0.076,0.438,0.0624
7M0GDtHcuJrTMWtnSs48I3,1pat8ir5aqzhzvs7ygs1jp8ga,Made To Stray,['Mount Kimbie'],286.76,False,46,True,0.838,0.714,-5.471,128.985,0.174,0.667,0.841,0.368,0.0673
0GTK6TesV108Jj5D3MHsYb,1pat8ir5aqzhzvs7ygs1jp8ga,Owner of a Lonely Heart,['Yes'],268.506,False,72,True,0.744,0.798,-5.981,125.061,0.0364,0.175,0.00367,0.89,0.26
